,time,num,savedAt
104,2021-07-07T02:00:00.000Z,6274.0,1625594400000
105,2021-07-07T02:15:00.000Z,6315.4,1625595300000
106,2021-07-07T02:30:00.000Z,6392.5,1625596200000
107,2021-07-07T02:45:00.000Z,6392.5,1625597100000
108,2021-07-07T03:00:00.000Z,6392.5,1625598000000
109,2021-07-07T03:15:00.000Z,6392.5,1625598900000
110,2021-07-07T03:30:00.000Z,6392.5,1625599800000
111,2021-07-07T03:45:00.000Z,6392.5,1625600700000
112,2021-07-07T04:00:00.000Z,6392.5,1625601600000
113,2021-07-07T04:15:00.000Z,6392.5,1625602500000
114,2021-07-07T04:30:00.000Z,6392.5,1625603400000
115,2021-07-07T04:45:00.000Z,6392.5,1625604300000
116,2021-07-07T05:00:00.000Z,6392.5,1625605200000
117,2021-07-07T05:15:00.000Z,6392.5,1625606100000
118,2021-07-07T05:30:00.000Z,6392.5,1625607000000
119,2021-07-07T05:45:00.000Z,6392.5,1625607900000
120,2021-07-07T06:00:00.000Z,6392.5,1625608800000
121,2021-07-07T06:15:00.000Z,6392.5,1625609700000
122,2021-07-07T06:30:00.000Z,6392.5,1625610600000
123,2021-07-07T06:45:00.000Z,6392.5,1625611500000
124,2021-07-07T07:00:00.000Z,6392.5,1625612400000
125,2021-07-07T07:15:00.000Z,6392.5,1625613300000
126,2021-07-07T07:30:00.000Z,6392.5,1625614200000
127,2021-07-07T07:45:00.000Z,6392.5,1625615100000
128,2021-07-07T08:00:00.000Z,7958.5,1625616000000
129,2021-07-07T08:15:00.000Z,7999.8125,1625616900000
130,2021-07-07T08:30:00.000Z,8073.5625,1625617800000
131,2021-07-07T08:45:00.000Z,8145.5625,1625618700000
132,2021-07-07T09:00:00.000Z,8219.5,1625619600000
133,2021-07-07T09:15:00.000Z,8293.625,1625620500000
134,2021-07-07T09:30:00.000Z,8362.866666666667,1625621400000
135,2021-07-07T09:45:00.000Z,8434.0,1625622300000
136,2021-07-07T10:00:00.000Z,8509.1875,1625623200000
137,2021-07-07T10:15:00.000Z,8580.066666666668,1625624100000
138,2021-07-07T10:30:00.000Z,8652.8125,1625625000000
139,2021-07-07T10:45:00.000Z,8725.875,1625625900000
140,2021-07-07T11:00:00.000Z,8800.6875,1625626800000
141,2021-07-07T11:15:00.000Z,8869.6875,1625627700000
142,2021-07-07T11:30:00.000Z,8937.5,1625628600000
143,2021-07-07T11:45:00.000Z,9003.9375,1625629500000
144,2021-07-07T12:00:00.000Z,9067.3125,1625630400000
145,2021-07-07T12:15:00.000Z,9128.4,1625631300000
146,2021-07-07T12:30:00.000Z,9194.6875,1625632200000
147,2021-07-07T12:45:00.000Z,9265.375,1625633100000
148,2021-07-07T13:00:00.000Z,9337.125,1625634000000
149,2021-07-07T13:15:00.000Z,9409.375,1625634900000
150,2021-07-07T13:30:00.000Z,9481.4375,1625635800000
151,2021-07-07T13:45:00.000Z,9553.8125,1625636700000
152,2021-07-07T14:00:00.000Z,9625.9375,1625637600000
153,2021-07-07T14:15:00.000Z,9696.0,1625638500000
154,2021-07-07T14:30:00.000Z,9767.125,1625639400000
155,2021-07-07T14:45:00.000Z,9838.5625,1625640300000
156,2021-07-07T15:00:00.000Z,9909.4375,1625641200000
157,2021-07-07T15:15:00.000Z,7479.8125,1625642100000
158,2021-07-07T15:30:00.000Z,49.125,1625643000000
159,2021-07-07T15:45:00.000Z,118.6875,1625643900000
160,2021-07-07T16:00:00.000Z,190.875,1625644800000
161,2021-07-07T16:15:00.000Z,261.375,1625645700000
